rank,name,year
1,California Institute of Technology,2016
2,University of Oxford,2016
3,Stanford University,2016
4,University of Cambridge,2016
5,Massachusetts Institute of Technology,2016
6,Harvard University,2016
7,Princeton University,2016
8,Imperial College London,2016
9,ETH Zurich,2016
10,The University of Chicago,2016
11,Johns Hopkins University,2016
12,Yale University,2016
13,"University of California, Berkeley",2016
14,UCL,2016
15,Columbia University,2016
16,"University of California, Los Angeles",2016
17,University of Pennsylvania,2016
18,Cornell University,2016
19,University of Toronto,2016
20,Duke University,2016
21,University of Michigan-Ann Arbor,2016
22,Carnegie Mellon University,2016
23,London School of Economics and Political Science,2016
24,University of Edinburgh,2016
25,Northwestern University,2016
26,National University of Singapore,2016
27,King’s College London,2016
28,Karolinska Institute,2016
29,LMU Munich,2016
30,New York University,2016
31,École Polytechnique Fédérale de Lausanne,2016
32,University of Washington,2016
33,University of Melbourne,2016
34,University of British Columbia,2016
35,KU Leuven,2016
36,University of Illinois at Urbana-Champaign,2016
37,Universität Heidelberg,2016
38,McGill University,2016
39,"University of California, San Diego",2016
39,"University of California, Santa Barbara",2016
41,Georgia Institute of Technology,2016
42,Peking University,2016
43,The University of Tokyo,2016
44,"University of California, Davis",2016
44,University of Hong Kong,2016
46,University of Texas at Austin,2016
47,Tsinghua University,2016
47,Wageningen University & Research,2016
49,Humboldt University of Berlin,2016
50,University of Wisconsin-Madison,2016
51,Brown University,2016
52,Australian National University,2016
53,Technical University of Munich,2016
54,École Normale Supérieure,2016
55,"Nanyang Technological University, Singapore",2016
56,University of Manchester,2016
56,The University of Sydney,2016
58,University of Amsterdam,2016
59,The Hong Kong University of Science and Technology,2016
60,The University of Queensland,2016
60,Washington University in St Louis,2016
62,Utrecht University,2016
63,University of North Carolina at Chapel Hill,2016
64,Boston University,2016
65,Delft University of Technology,2016
65,University of Minnesota,2016
67,Leiden University,2016
68,University of Southern California,2016
69,University of Bristol,2016
70,Durham University,2016
71,Erasmus University Rotterdam,2016
72,Free University of Berlin,2016
73,Monash University,2016
74,University of Groningen,2016
75,Penn State (Main campus),2016
76,University of Glasgow,2016
76,University of Helsinki,2016
78,University of Tübingen,2016
79,University of Pittsburgh-Pittsburgh campus,2016
